# log_a a N_sq rho_coh_frac w_coh
-5.534535e+01 9.200722e-25 4.547987e+00 1.000000e+00 -9.300408e-01
-5.528328e+01 9.789830e-25 4.607208e+00 1.000000e+00 -9.309829e-01
-5.522122e+01 1.041666e-24 4.666392e+00 1.000000e+00 -9.319006e-01
-5.515916e+01 1.108362e-24 4.725540e+00 1.000000e+00 -9.327947e-01
-5.509710e+01 1.179328e-24 4.784651e+00 1.000000e+00 -9.336661e-01
-5.503504e+01 1.254839e-24 4.843725e+00 1.000000e+00 -9.345158e-01
-5.497297e+01 1.335184e-24 4.902763e+00 1.000000e+00 -9.353445e-01
-5.491091e+01 1.420674e-24 4.961764e+00 1.000000e+00 -9.361529e-01
-5.484885e+01 1.511637e-24 5.020728e+00 1.000000e+00 -9.369419e-01
-5.478679e+01 1.608425e-24 5.079656e+00 1.000000e+00 -9.377121e-01
-5.472472e+01 1.711410e-24 5.138547e+00 1.000000e+00 -9.384642e-01
-5.466266e+01 1.820989e-24 5.197402e+00 1.000000e+00 -9.391987e-01
-5.460060e+01 1.937584e-24 5.256220e+00 1.000000e+00 -9.399164e-01
-5.453854e+01 2.061644e-24 5.315002e+00 1.000000e+00 -9.406178e-01
-5.447648e+01 2.193648e-24 5.373747e+00 1.000000e+00 -9.413034e-01
-5.441441e+01 2.334103e-24 5.432456e+00 1.000000e+00 -9.419737e-01
-5.435235e+01 2.483552e-24 5.491128e+00 1.000000e+00 -9.426294e-01
-5.429029e+01 2.642570e-24 5.549764e+00 1.000000e+00 -9.432707e-01
-5.422823e+01 2.811770e-24 5.608364e+00 1.000000e+00 -9.438983e-01
-5.416617e+01 2.991803e-24 5.666927e+00 1.000000e+00 -9.445125e-01
-5.410410e+01 3.183363e-24 5.725454e+00 1.000000e+00 -9.451138e-01
-5.404204e+01 3.387188e-24 5.783945e+00 1.000000e+00 -9.457025e-01
-5.397998e+01 3.604065e-24 5.842399e+00 1.000000e+00 -9.462791e-01
-5.391792e+01 3.834827e-24 5.900817e+00 1.000000e+00 -9.468440e-01
-5.385586e+01 4.080365e-24 5.959199e+00 1.000000e+00 -9.473974e-01
-5.379379e+01 4.341624e-24 6.017544e+00 1.000000e+00 -9.479397e-01
-5.373173e+01 4.619611e-24 6.075854e+00 1.000000e+00 -9.484714e-01
-5.366967e+01 4.915397e-24 6.134127e+00 1.000000e+00 -9.489925e-01
-5.360761e+01 5.230122e-24 6.192364e+00 1.000000e+00 -9.495036e-01
-5.354555e+01 5.564998e-24 6.250565e+00 1.000000e+00 -9.500048e-01
-5.348348e+01 5.921316e-24 6.308729e+00 1.000000e+00 -9.504965e-01
-5.342142e+01 6.300448e-24 6.366858e+00 1.000000e+00 -9.509789e-01
-5.335936e+01 6.703856e-24 6.424951e+00 1.000000e+00 -9.514523e-01
-5.329730e+01 7.133093e-24 6.483007e+00 1.000000e+00 -9.519169e-01
-5.323524e+01 7.589813e-24 6.541028e+00 1.000000e+00 -9.523729e-01
-5.317317e+01 8.075777e-24 6.599013e+00 1.000000e+00 -9.528207e-01
-5.311111e+01 8.592856e-24 6.656961e+00 1.000000e+00 -9.532604e-01
-5.304905e+01 9.143042e-24 6.714874e+00 1.000000e+00 -9.536923e-01
-5.298699e+01 9.728456e-24 6.772750e+00 1.000000e+00 -9.541165e-01
-5.292492e+01 1.035135e-23 6.830591e+00 1.000000e+00 -9.545333e-01
-5.286286e+01 1.101413e-23 6.888396e+00 1.000000e+00 -9.549428e-01
-5.280080e+01 1.171935e-23 6.946165e+00 1.000000e+00 -9.553452e-01
-5.273874e+01 1.246972e-23 7.003898e+00 1.000000e+00 -9.557408e-01
-5.267668e+01 1.326814e-23 7.061596e+00 1.000000e+00 -9.561296e-01
-5.261461e+01 1.411768e-23 7.119257e+00 1.000000e+00 -9.565120e-01
-5.255255e+01 1.502161e-23 7.176883e+00 1.000000e+00 -9.568879e-01
-5.249049e+01 1.598342e-23 7.234473e+00 1.000000e+00 -9.572576e-01
-5.242843e+01 1.700681e-23 7.292028e+00 1.000000e+00 -9.576213e-01
-5.236637e+01 1.809573e-23 7.349546e+00 1.000000e+00 -9.579791e-01
-5.230430e+01 1.925437e-23 7.407029e+00 1.000000e+00 -9.583310e-01
-5.224224e+01 2.048719e-23 7.464477e+00 1.000000e+00 -9.586774e-01
-5.218018e+01 2.179896e-23 7.521888e+00 1.000000e+00 -9.590182e-01
-5.211812e+01 2.319471e-23 7.579264e+00 1.000000e+00 -9.593537e-01
-5.205606e+01 2.467983e-23 7.636605e+00 1.000000e+00 -9.596839e-01
-5.199399e+01 2.626004e-23 7.693909e+00 1.000000e+00 -9.600090e-01
-5.193193e+01 2.794142e-23 7.751179e+00 1.000000e+00 -9.603291e-01
-5.186987e+01 2.973047e-23 7.808412e+00 1.000000e+00 -9.606443e-01
-5.180781e+01 3.163406e-23 7.865611e+00 1.000000e+00 -9.609548e-01
-5.174575e+01 3.365954e-23 7.922773e+00 1.000000e+00 -9.612605e-01
-5.168368e+01 3.581470e-23 7.979901e+00 1.000000e+00 -9.615617e-01
-5.162162e+01 3.810786e-23 8.036993e+00 1.000000e+00 -9.618584e-01
-5.155956e+01 4.054785e-23 8.094049e+00 1.000000e+00 -9.621508e-01
-5.149750e+01 4.314406e-23 8.151070e+00 1.000000e+00 -9.624389e-01
-5.143544e+01 4.590650e-23 8.208056e+00 1.000000e+00 -9.627228e-01
-5.137337e+01 4.884582e-23 8.265006e+00 1.000000e+00 -9.630026e-01
-5.131131e+01 5.197334e-23 8.321921e+00 1.000000e+00 -9.632785e-01
-5.124925e+01 5.530111e-23 8.378801e+00 1.000000e+00 -9.635504e-01
-5.118719e+01 5.884195e-23 8.435645e+00 1.000000e+00 -9.638185e-01
-5.112513e+01 6.260951e-23 8.492454e+00 1.000000e+00 -9.640828e-01
-5.106306e+01 6.661829e-23 8.549228e+00 1.000000e+00 -9.643435e-01
-5.100100e+01 7.088375e-23 8.605967e+00 1.000000e+00 -9.646005e-01
-5.093894e+01 7.542232e-23 8.662670e+00 1.000000e+00 -9.648540e-01
-5.087688e+01 8.025149e-23 8.719338e+00 1.000000e+00 -9.651041e-01
-5.081481e+01 8.538987e-23 8.775971e+00 1.000000e+00 -9.653508e-01
-5.075275e+01 9.085724e-23 8.832569e+00 1.000000e+00 -9.655942e-01
-5.069069e+01 9.667468e-23 8.889132e+00 1.000000e+00 -9.658344e-01
-5.062863e+01 1.028646e-22 8.945660e+00 1.000000e+00 -9.660713e-01
-5.056657e+01 1.094509e-22 9.002153e+00 1.000000e+00 -9.663052e-01
-5.050450e+01 1.164588e-22 9.058610e+00 1.000000e+00 -9.665359e-01
-5.044244e+01 1.239155e-22 9.115033e+00 1.000000e+00 -9.667637e-01
-5.038038e+01 1.318496e-22 9.171420e+00 1.000000e+00 -9.669885e-01
-5.031832e+01 1.402917e-22 9.227773e+00 1.000000e+00 -9.672105e-01
-5.025626e+01 1.492744e-22 9.284091e+00 1.000000e+00 -9.674296e-01
-5.019419e+01 1.588322e-22 9.340373e+00 1.000000e+00 -9.676460e-01
-5.013213e+01 1.690019e-22 9.396621e+00 1.000000e+00 -9.678596e-01
-5.007007e+01 1.798228e-22 9.452834e+00 1.000000e+00 -9.680705e-01
-5.000801e+01 1.913366e-22 9.509012e+00 1.000000e+00 -9.682789e-01
-4.994595e+01 2.035876e-22 9.565155e+00 1.000000e+00 -9.684846e-01
-4.988388e+01 2.166230e-22 9.621263e+00 1.000000e+00 -9.686878e-01
-4.982182e+01 2.304930e-22 9.677337e+00 1.000000e+00 -9.688886e-01
-4.975976e+01 2.452511e-22 9.733376e+00 1.000000e+00 -9.690869e-01
-4.969770e+01 2.609541e-22 9.789380e+00 1.000000e+00 -9.692828e-01
-4.963564e+01 2.776626e-22 9.845349e+00 1.000000e+00 -9.694764e-01
-4.957357e+01 2.954409e-22 9.901283e+00 1.000000e+00 -9.696677e-01
-4.951151e+01 3.143575e-22 9.957183e+00 1.000000e+00 -9.698567e-01
-4.944945e+01 3.344852e-22 1.001305e+01 1.000000e+00 -9.700434e-01
-4.938739e+01 3.559018e-22 1.006888e+01 1.000000e+00 -9.702280e-01
-4.932533e+01 3.786896e-22 1.012467e+01 1.000000e+00 -9.704105e-01
-4.926326e+01 4.029365e-22 1.018044e+01 1.000000e+00 -9.705908e-01
-4.920120e+01 4.287359e-22 1.023616e+01 1.000000e+00 -9.707690e-01
-4.913914e+01 4.561871e-22 1.029185e+01 1.000000e+00 -9.709453e-01
-4.907708e+01 4.853960e-22 1.034751e+01 1.000000e+00 -9.711195e-01
-4.901502e+01 5.164752e-22 1.040313e+01 1.000000e+00 -9.712917e-01
-4.895295e+01 5.495442e-22 1.045872e+01 1.000000e+00 -9.714620e-01
-4.889089e+01 5.847307e-22 1.051428e+01 1.000000e+00 -9.716304e-01
-4.882883e+01 6.221700e-22 1.056980e+01 1.000000e+00 -9.717969e-01
-4.876677e+01 6.620066e-22 1.062528e+01 1.000000e+00 -9.719616e-01
-4.870470e+01 7.043938e-22 1.068073e+01 1.000000e+00 -9.721245e-01
-4.864264e+01 7.494950e-22 1.073615e+01 1.000000e+00 -9.722856e-01
-4.858058e+01 7.974839e-22 1.079153e+01 1.000000e+00 -9.724449e-01
-4.851852e+01 8.485455e-22 1.084688e+01 1.000000e+00 -9.726025e-01
-4.845646e+01 9.028765e-22 1.090219e+01 1.000000e+00 -9.727584e-01
-4.839439e+01 9.606862e-22 1.095747e+01 1.000000e+00 -9.729127e-01
-4.833233e+01 1.022197e-21 1.101271e+01 1.000000e+00 -9.730653e-01
-4.827027e+01 1.087647e-21 1.106792e+01 1.000000e+00 -9.732163e-01
-4.820821e+01 1.157287e-21 1.112310e+01 1.000000e+00 -9.733657e-01
-4.814615e+01 1.231387e-21 1.117824e+01 1.000000e+00 -9.735135e-01
-4.808408e+01 1.310230e-21 1.123335e+01 1.000000e+00 -9.736598e-01
-4.802202e+01 1.394122e-21 1.128842e+01 1.000000e+00 -9.738046e-01
-4.795996e+01 1.483386e-21 1.134346e+01 1.000000e+00 -9.739478e-01
-4.789790e+01 1.578364e-21 1.139847e+01 1.000000e+00 -9.740896e-01
-4.783584e+01 1.679424e-21 1.145344e+01 1.000000e+00 -9.742300e-01
-4.777377e+01 1.786955e-21 1.150837e+01 1.000000e+00 -9.743689e-01
