# x unit_response displaced_response_per_kappa heated_response_per_kappa contrast_response_per_kappa
3.925781250e+01 -3.022542884e-02 -6.045085767e+01 -5.166325010e+01 -8.787607570e+00
3.945312500e+01 -3.060793590e-02 -6.121587180e+01 -5.231705582e+01 -8.898815983e+00
3.964843750e+01 -3.098304163e-02 -6.196608327e+01 -5.295821070e+01 -9.007872565e+00
3.984375000e+01 -3.135089511e-02 -6.270179022e+01 -5.358696956e+01 -9.114820659e+00
4.003906250e+01 -3.171163074e-02 -6.342326148e+01 -5.420356214e+01 -9.219699341e+00
4.023437500e+01 -3.206539200e-02 -6.413078400e+01 -5.480823368e+01 -9.322550327e+00
4.042968750e+01 -3.241230804e-02 -6.482461607e+01 -5.540120491e+01 -9.423411161e+00
4.062500000e+01 -3.275251694e-02 -6.550503389e+01 -5.598271189e+01 -9.522321996e+00
4.082031250e+01 -3.308614281e-02 -6.617228561e+01 -5.655296671e+01 -9.619318904e+00
4.101562500e+01 -3.341331855e-02 -6.682663709e+01 -5.711219656e+01 -9.714440532e+00
4.121093750e+01 -3.373416337e-02 -6.746832675e+01 -5.766060521e+01 -9.807721539e+00
4.140625000e+01 -3.404880523e-02 -6.809761047e+01 -5.819841135e+01 -9.899199123e+00
4.160156250e+01 -3.435735866e-02 -6.871471732e+01 -5.872581074e+01 -9.988906582e+00
4.179687500e+01 -3.465994681e-02 -6.931989362e+01 -5.924301390e+01 -1.007687972e+01
4.199218750e+01 -3.495667971e-02 -6.991335943e+01 -5.975020889e+01 -1.016315054e+01
4.218750000e+01 -3.524767592e-02 -7.049535184e+01 -6.024759835e+01 -1.024775349e+01
4.238281250e+01 -3.553304114e-02 -7.106608227e+01 -6.073536297e+01 -1.033071931e+01
4.257812500e+01 -3.581288948e-02 -7.162577896e+01 -6.121369778e+01 -1.041208118e+01
4.277343750e+01 -3.608732250e-02 -7.217464500e+01 -6.168277638e+01 -1.049186862e+01
4.296875000e+01 -3.635645005e-02 -7.271290010e+01 -6.214278652e+01 -1.057011358e+01
4.316406250e+01 -3.662036968e-02 -7.324073936e+01 -6.259389496e+01 -1.064684440e+01
4.335937500e+01 -3.687918714e-02 -7.375837428e+01 -6.303628244e+01 -1.072209185e+01
4.355468750e+01 -3.713299614e-02 -7.426599228e+01 -6.347010913e+01 -1.079588315e+01
4.375000000e+01 -3.738189849e-02 -7.476379698e+01 -6.389554905e+01 -1.086824792e+01
4.394531250e+01 -3.762598419e-02 -7.525196838e+01 -6.431275606e+01 -1.093921232e+01
4.414062500e+01 -3.786535127e-02 -7.573070253e+01 -6.472189769e+01 -1.100880484e+01
4.433593750e+01 -3.810008617e-02 -7.620017233e+01 -6.512312170e+01 -1.107705063e+01
4.453125000e+01 -3.833028326e-02 -7.666056652e+01 -6.551658940e+01 -1.114397712e+01
4.472656250e+01 -3.855602558e-02 -7.711205116e+01 -6.590244272e+01 -1.120960844e+01
4.492187500e+01 -3.877740399e-02 -7.755480797e+01 -6.628083695e+01 -1.127397102e+01
4.511718750e+01 -3.899449823e-02 -7.798899646e+01 -6.665190842e+01 -1.133708804e+01
4.531250000e+01 -3.920739579e-02 -7.841479157e+01 -6.701580664e+01 -1.139898494e+01
4.550781250e+01 -3.941617326e-02 -7.883234651e+01 -6.737266254e+01 -1.145968397e+01
4.570312500e+01 -3.962091486e-02 -7.924182972e+01 -6.772262008e+01 -1.151920964e+01
4.589843750e+01 -3.982169416e-02 -7.964338833e+01 -6.806580500e+01 -1.157758333e+01
4.609375000e+01 -4.001859227e-02 -8.003718454e+01 -6.840235592e+01 -1.163482862e+01
4.628906250e+01 -4.021167981e-02 -8.042335962e+01 -6.873239359e+01 -1.169096603e+01
4.648437500e+01 -4.040103489e-02 -8.080206979e+01 -6.905605149e+01 -1.174601829e+01
4.667968750e+01 -4.058672534e-02 -8.117345069e+01 -6.937344557e+01 -1.180000511e+01
4.687500000e+01 -4.076882637e-02 -8.153765274e+01 -6.968470438e+01 -1.185294836e+01
4.707031250e+01 -4.094740311e-02 -8.189480622e+01 -6.998993924e+01 -1.190486697e+01
4.726562500e+01 -4.112252798e-02 -8.224505595e+01 -7.028927395e+01 -1.195578200e+01
4.746093750e+01 -4.129426352e-02 -8.258852705e+01 -7.058281541e+01 -1.200571164e+01
4.765625000e+01 -4.146267949e-02 -8.292535898e+01 -7.087068283e+01 -1.205467615e+01
4.785156250e+01 -4.162783593e-02 -8.325567185e+01 -7.115297885e+01 -1.210269300e+01
4.804687500e+01 -4.178980000e-02 -8.357960000e+01 -7.142981828e+01 -1.214978172e+01
4.824218750e+01 -4.194862937e-02 -8.389725874e+01 -7.170129967e+01 -1.219595907e+01
4.843750000e+01 -4.210438872e-02 -8.420877744e+01 -7.196753359e+01 -1.224124386e+01
4.863281250e+01 -4.225713341e-02 -8.451426682e+01 -7.222861465e+01 -1.228565217e+01
4.882812500e+01 -4.240692574e-02 -8.481385148e+01 -7.248464935e+01 -1.232920213e+01
4.902343750e+01 -4.255381885e-02 -8.510763769e+01 -7.273572851e+01 -1.237190918e+01
4.921875000e+01 -4.269787274e-02 -8.539574549e+01 -7.298195471e+01 -1.241379078e+01
4.941406250e+01 -4.283913844e-02 -8.567827688e+01 -7.322341514e+01 -1.245486174e+01
4.960937500e+01 -4.297767374e-02 -8.595534749e+01 -7.346020860e+01 -1.249513888e+01
4.980468750e+01 -4.311352761e-02 -8.622705523e+01 -7.369241879e+01 -1.253463644e+01
5.000000000e+01 -4.324675574e-02 -8.649351147e+01 -7.392014088e+01 -1.257337059e+01
5.019531250e+01 -4.337740510e-02 -8.675481021e+01 -7.414345520e+01 -1.261135501e+01
5.039062500e+01 -4.350552936e-02 -8.701105872e+01 -7.436245343e+01 -1.264860529e+01
5.058593750e+01 -4.363117361e-02 -8.726234721e+01 -7.457721267e+01 -1.268513454e+01
5.078125000e+01 -4.375438952e-02 -8.750877904e+01 -7.478782125e+01 -1.272095779e+01
5.097656250e+01 -4.387522039e-02 -8.775044078e+01 -7.499435315e+01 -1.275608763e+01
5.117187500e+01 -4.399371600e-02 -8.798743200e+01 -7.519689348e+01 -1.279053852e+01
5.136718750e+01 -4.410991789e-02 -8.821983578e+01 -7.539551323e+01 -1.282432254e+01
5.156250000e+01 -4.422387402e-02 -8.844774805e+01 -7.559029440e+01 -1.285745364e+01
5.175781250e+01 -4.433562427e-02 -8.867124853e+01 -7.578130512e+01 -1.288994342e+01
5.195312500e+01 -4.444521483e-02 -8.889042966e+01 -7.596862437e+01 -1.292180529e+01
5.214843750e+01 -4.455268397e-02 -8.910536794e+01 -7.615231754e+01 -1.295305039e+01
5.234375000e+01 -4.465807621e-02 -8.931615242e+01 -7.633246075e+01 -1.298369167e+01
5.253906250e+01 -4.476142824e-02 -8.952285649e+01 -7.650911671e+01 -1.301373978e+01
5.273437500e+01 -4.486278299e-02 -8.972556598e+01 -7.668235877e+01 -1.304320721e+01
5.292968750e+01 -4.496217565e-02 -8.992435131e+01 -7.685224711e+01 -1.307210420e+01
5.312500000e+01 -4.505964758e-02 -9.011929516e+01 -7.701885241e+01 -1.310044275e+01
5.332031250e+01 -4.515523255e-02 -9.031046510e+01 -7.718223239e+01 -1.312823270e+01
5.351562500e+01 -4.524897041e-02 -9.049794082e+01 -7.734245518e+01 -1.315548564e+01
5.371093750e+01 -4.534089355e-02 -9.068178710e+01 -7.749957614e+01 -1.318221096e+01
5.390625000e+01 -4.543104039e-02 -9.086208078e+01 -7.765366092e+01 -1.320841986e+01
5.410156250e+01 -4.551944199e-02 -9.103888399e+01 -7.780476264e+01 -1.323412135e+01
5.429687500e+01 -4.560613538e-02 -9.121227076e+01 -7.795294456e+01 -1.325932620e+01
5.449218750e+01 -4.569115035e-02 -9.138230070e+01 -7.809825763e+01 -1.328404308e+01
5.468750000e+01 -4.577452259e-02 -9.154904518e+01 -7.824076282e+01 -1.330828235e+01
5.488281250e+01 -4.585628067e-02 -9.171256133e+01 -7.838050900e+01 -1.333205234e+01
5.507812500e+01 -4.593645898e-02 -9.187291797e+01 -7.851755494e+01 -1.335536302e+01
5.527343750e+01 -4.601508494e-02 -9.203016988e+01 -7.865194749e+01 -1.337822239e+01
5.546875000e+01 -4.609219169e-02 -9.218438338e+01 -7.878374332e+01 -1.340064006e+01
5.566406250e+01 -4.616780551e-02 -9.233561103e+01 -7.891298733e+01 -1.342262369e+01
5.585937500e+01 -4.624195837e-02 -9.248391675e+01 -7.903973418e+01 -1.344418257e+01
